icao,name,manufacturer,type,apc,wtc,recat_eu,mtow_kg,v2_ias_kts,takeoff_distance_m,initial_climb_ias_kts,initial_climb_roc_ftmin,climb_fl150_ias_kts,climb_fl150_roc_ftmin,climb_fl240_ias_kts,climb_fl240_roc_ftmin,mach_climb_mach,mach_climb_roc_ftmin,cruise_tas_kt,cruise_mach,cruise_ceiling_fl,range_nm,init_descent_mach,init_descent_rod_ftmin,descent_fl100_ias_kt,descent_fl100_rod_ftmin,approach_ias_kt,approach_rod_ftmin,approach_mcs_kt,vat_ias_kt,landing_distance_m,wing_span_m,length_m,height_m,power_plant,wing_position,engine_position,tail_configuration,landing_gear,iata
B701,,,L4J,C,M,Upper Medium,86184,,,160,1300,160,1300,160,1300,0.81,1300,470,0.81,,3530,0.81,1640,160,1640,160,1640,240,130,,39.9,44.1,12.9,4 x 76.2 kN P&W JT3D-1 turbofans.,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,707/B72/70F/70M
B703,,,L4J,C,H,Lower Heavy,150800,130,3000,160,2000,160,2000,160,2000,0.76,2000,470,0.76,,5000,0.76,800,160,800,160,800,240,140,3000,44.4,46.6,12.9,4 x 80.1 kN P&W JT3D-3 or 4 x 84.4 kN P&W JT3D-7 turbofans.,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,703
B712,,,L2J,C,M,Lower Medium,54885,130,2100,165,3000,165,3000,165,3000,0.72,3000,435,0.72,,2060,0.72,800,165,800,165,800,,139,2100,28.5,37.8,8.9,"2 x 93,4 kN R-R BR715-C1-30 turbofans.",Low wing,Both sides of rear fuselage,T-tail,Tricycle retractable,717
B720,,,L4J,C,M,Lower Heavy,108000,175,2515,240,1700,240,1700,240,1700,0.78,1700,480,0.78,,3600,0.78,1000,240,1000,240,1000,220,133,2515,39.9,41.3,12.7,"4 x 75,6 kN P&W JT3C-7 or 4 x 80 kN P&W JT3D-3 turbofans.",Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,B72
B722,,,L3J,C,M,Upper Medium,95300,145,3000,175,2000,175,2000,175,2000,0.72,2000,450,0.72,,2500,0.72,800,175,800,175,800,1300,133,3000,32.9,46.7,10.4,"3 x 64.4 kN  P&W JT8D-9 or 3 x 67,2 kN P&W JT8D-11 or 3 x 72 kN P&W JT8D-17 or 3 x 77,4 kN P&W JT8D-17R  turbofans, optional with hush-kits for noise reduction.",Low wing,Both sides of rear fuselage and fin-integrated,T-tail,Tricycle retractable,72S/722/72A/72F
B731,,,L2J,C,M,Lower Medium,49950,145,1800,175,1500,175,1500,175,1500,0.68,1500,420,0.68,,1500,0.68,800,175,800,175,800,210,140,1800,28.3,28.7,11.3,2 x 62.3 kN P&W JT8D - 7 turbofans.,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,731
B732,,,L2J,C,M,Lower Medium,52390,145,1830,175,1500,175,1500,175,1500,0.68,1500,400,0.68,,1200,0.68,800,175,800,175,800,210,131,1830,28.3,30.5,11.3,2 x 64.5 kN P&W JT8D-9A or 2 x 68.9 kN P&W JT8D-15A or 2 x 71.2 kN P&W JT8D-17 or 2 x 77.4 kN P&W JT8D-17R turbofans. Optional with Hush-Kits for noise reduction.,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,732/73A/73S/73M/73F/73X
B733,,,L2J,C,M,Lower Medium,56470,140,1600,165,2500,165,2500,165,2500,0.70,2500,429,0.70,,1600,0.70,800,165,800,165,800,210,132,1600,28.9,33.4,11.1,2 x 90 kN CFM56-3B1 or 2 x 99 kN CFM56-3B2 turbofans.,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,733/73Y
B734,,,L2J,C,M,Lower Medium,62820,150,2000,175,3000,175,3000,175,3000,0.70,3000,430,0.70,,2100,0.70,1500,175,1500,175,1500,210,139,2000,28.9,36.4,11.1,2 x 97.9 kN CFM56-3B2 or 2 x 105 kN CFM56-3C turbofans,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,734
B735,,,L2J,C,M,Lower Medium,52390,139,1500,165,3000,165,3000,165,3000,0.70,3000,430,0.70,,1600,0.70,1000,165,1000,165,1000,210,128,1500,28.9,31,11.1,"2 x 82 kN CFM56-3B4 or 2 x 89 kN CFM56-3B1 turbofans, optional derated to 82.3 kN.",Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,735
B736,,,L2J,C,M,Upper Medium,56240,135,1900,185,3000,185,3000,185,3000,0.72,3000,460,0.72,,3200,0.72,1000,185,1000,185,1000,190,130,1900,34.3,31.2,12.6,"2 x 97,9 kN CFMI CFM56-7B turbofans.",Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,736
B737,,,L2J,C,M,Upper Medium,66320,150,1800,165,3000,165,3000,165,3000,0.74,3000,460,0.74,,2500,0.74,800,165,800,165,800,190,137,1800,34.3,33.6,12.6,2 x 89 kN CFM56-7 or 2 x 107 kN CFM56-7HGW turbofans.,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,737/73G/73W
B738,,,L2J,D,M,Upper Medium,70530,145,2300,165,3000,165,3000,165,3000,0.78,3000,460,0.78,,2000,0.78,800,165,800,165,800,210,147,2300,34.3,39.2,12.6,2 x 117 kN CFMI CFM56-7B turbofans.,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,738/73H
B739,,,L2J,D,M,Upper Medium,79015,149,2300,165,3000,165,3000,165,3000,0.72,3000,460,0.72,,2745,0.72,1000,165,1000,165,1000,210,150,2300,34.3,42.1,12.5,"2 x 116,5 kN CFMI CFM56-7B turbofans.",Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,739
B741,,,L4J,D,H,Upper Heavy,333400,170,3190,200,1000,200,1000,200,1000,0.82,1000,500,0.82,,5290,0.82,1000,200,1000,200,1000,240,150,3190,59.6,70.6,19.3,4 x 209.9 kN P&W JT9D-7A or 4 x 213.5 kN P&W JT9D-7F or 4 x 206.8 kN GE CF6-45A2 turbofans.,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,747/741
B742,,,L4J,D,H,Upper Heavy,374850,173,3200,220,1000,220,1000,220,1000,0.82,1000,495,0.82,,6857,0.82,1000,220,1000,220,1000,250,150,3200,59.6,70.7,19.3,4 x 243.5 kN P&W JT9D-7RG2 or 4 x 233.5 kN GE CF6-50E2 or 4 x 236.5 kN R-R RB211-524D4 turbofans.,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,742/74M/74C
B743,,,L4J,D,H,Upper Heavy,374850,178,3300,230,2000,230,2000,230,2000,0.75,2000,510,0.75,,6695,0.75,1000,230,1000,230,1000,250,160,3300,59.6,70.6,19.3,"4 x 243.2 kN P&W JT9D-7R4G2  or 4 x 235.2 kN GE CF6-50E2 or 4 x 236,3 kN R-R RB211-524D4 or 4 x 252,2 kN GE CF6-80CB1 turbofans.",Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,743/74D
B744,,,L4J,D,H,Upper Heavy,396890,185,3300,215,1500,215,1500,215,1500,0.75,1500,510,0.75,,7260,0.75,1000,215,1000,215,1000,250,152,3300,64.8,70.6,19.4,4 x 258 kN R-R RB 211-524 G/H or 4 x 252.4 kN P&W PW 4056  or  4 x 257.5 kN GE CF6-80C2B4 turbofans.,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,744/74E/74Y
B748,,,L4J,D,H,Upper Heavy,442250,175,3190,230,2500,230,2500,230,2500,0.85,2500,510,0.85,,4390,0.85,1500,230,1500,230,1500,210,145,3190,68.5,76.3,19.4,4x 66500 lbs GEnx-2B67,Low swept wing (Raked wings),(Front) Wing leading mounted,"Regular tail, low set",Tricycle retractable,
B74D,,,L4J,D,H,Upper Heavy,378182,185,3320,215,1500,215,1500,215,1500,0.82,1500,510,0.82,,7200,0.82,1000,215,1000,215,1000,240,160,3320,64.8,70.6,19.4,4 x 252.4 kN P&W PW 4056  or 4 x 257.5 kN GE CF6-80C2B4 turbofans.,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,744/74E/74Y
B74R,,,L4J,D,H,Upper Heavy,340190,170,3190,200,1000,200,1000,200,1000,0.75,1000,500,0.75,,5000,0.75,800,200,800,200,800,,150,3190,59.6,70.7,19.3,4 x 209.9 kN P&W JT9D-7A or 4 x 213.5 kN P&W JT9D-7F turbofans.,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,74R
B74S,,,L4J,C,H,Upper Heavy,317520,160,2300,190,3000,190,3000,190,3000,0.80,3000,490,0.80,,6000,0.80,800,190,800,190,800,240,140,2300,59.6,56.3,20,4 x 218.4 kN P&W JT9D-1AW or 4 x 206.8 kN GE CF6-45A2 or 4 x 222.8 kN R-R RB 211-524B or 4 x 230 kN R-R RB 211-524D4 turbofans.,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,74L/74F/74X
B752,,,L2J,C,M,Lower Heavy,115680,145,1900,175,3500,175,3500,175,3500,0.78,3500,470,0.78,,3900,0.78,1000,175,1000,175,1000,210,130,1900,38.1,47.3,13.6,2 x 162.8 kN P&W PW2037 or &#13;&#10;2 x 178.4 kN P&W PW2040 or &#13;&#10;2 x 193.5 kN R-R RB 211-535E4B or &#13;&#10;2 x 179 kN R-R RB 211-535E4 turbofans.,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,757/752/75F/75M
B753,,,L2J,D,M,Lower Heavy,123600,145,2600,175,3000,175,3000,175,3000,0.80,3000,490,0.80,,3395,0.80,1000,175,1000,175,1000,220,143,2600,38.1,54.5,13.6,2 x 162.8 kN P&W PW2037 or 2 x 178.4 kN P&W PW2040 or 2 x 189.4 P&W PW2043 or 2 x 193.5 kN R-R RB 211-535E4B turbofans.&#13;&#10;,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,753
B762,,,L2J,C,H,Lower Heavy,179170,160,2700,190,2000,190,2000,190,2000,0.78,2000,470,0.78,,6600,0.78,2000,190,2000,190,2000,220,135,2700,47.6,48.5,15.9,2 x 281.6 kN P&W PW4062 or&#13;&#10;2 x 276.2 kN GE CF6-80C2B7F,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,767/762/76F/76X
B763,,,L2J,C,H,Lower Heavy,186880,160,2900,190,3000,190,3000,190,3000,0.72,3000,460,0.72,,6105,0.72,1000,190,1000,190,1000,220,140,2900,47.6,54.9,15.9,2 x 281.6kN P&W PW4062 or 2 x 276.2kN GE CF6-80C2B7F or 2 x 264.7kN RR RB211-524H,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,763/767/76F/76Y
B764,,,L2J,D,H,Lower Heavy,204120,160,2900,190,2500,190,2500,190,2500,0.72,2500,460,0.72,,5645,0.72,1000,190,1000,190,1000,220,150,2900,51.9,61.4,16.8,2 x 281.6kN P&W PW4062 or 2 x 282.5kN GE CF6-80C2B8F,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,764
B772,,,L2J,C,H,Upper Heavy,247210,170,2900,200,3000,200,3000,200,3000,0.83,3000,480,0.83,,5210,0.83,800,200,800,200,800,240,140,2900,60.9,63.7,18.4,2 x 332 kN P&W PW 4074 or 2 x 336 kN GE GE90-75B or 2 x 336.3 kN R-R Trent 875 or 2 x 345 kN P&W PW 4077 or 2 x 340 kN GE GE90-76B or 2 x 345.3 kN R-R Trent 877 or 2 x 376.3 kN P&W PW 4084 or 2 x 376.3 kN GE GE90-85B or 2 x 376.3 kN R-R Trent 884 turbofan,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,777/772
B773,,,L2J,D,H,Upper Heavy,299370,168,3000,200,3000,200,3000,200,3000,0.82,3000,490,0.82,,5955,0.82,1000,200,1000,200,1000,250,149,3000,60.9,73.9,18.5,2 x 436 kN P&W PW4098 or 2 x 436 kN R-R Trent 875-892 or 2 x 423 kN GE GE90 95B turbofans.,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,773
B77L,,,L2J,C,H,Upper Heavy,347500,123,2970,175,2500,175,2500,175,2500,0.83,2500,490,0.83,,9380,0.83,1000,175,1000,175,1000,240,140,2970,64.8,63.7,18.6,2x General Electric GE90-110B1 110.100lbf(490kN) / GE90-115B1 115.540lbf (514kN),Low wing,Underwing mounted,Regular tail (Dihedral),Tricycle retractable,
B77W,,,L2J,D,H,Upper Heavy,351500,168,3000,200,3000,200,3000,200,3000,0.83,3000,490,0.83,,7930,0.83,1000,200,1000,200,1000,250,149,3000,64.8,73.9,18.5,"2 x General Electric GE90-115B 115,000 lbF (510 kN).",Low swept wing (Raked wings),Underwing mounted,Regular tail (Dihedral),Tricycle retractable,
B788,,,L2J,C,H,Upper Heavy,228000,165,2820,190,2700,190,2700,190,2700,0.79,2700,470,0.79,,8000,0.79,2600,190,2600,190,2600,220,140,2820,52,56.7,16.9,2x 280kN General Electric GEnx or 2x 280kN Rolls-Royce Trent 1000,Low wing,Underwing mounted,Regular tail (Dihedral),Tricycle retractable,
B789,,,L2J,C,H,Upper Heavy,254011,165,2800,190,2700,190,2700,190,2700,0.84,2700,490,0.84,,7565,0.84,2500,190,2500,190,2500,210,150,2800,60.12,62.8,16.9,2x 320kN GEnx-1B or 2x 320kN RR Trent 1000 TEN turbofans (newer productions with 2x 340kn Genx-1B or RR Trent 1000 TEN),Low wing,Underwing mounted,Regular tail (Dihedral),Tricycle retractable,789
B78X,,,L2J,C,H,Upper Heavy,254011,180,2800,190,2700,190,2700,190,2700,0.84,2700,488,0.84,,6430,0.84,2500,190,2500,190,2500,210,150,2800,60.12,68.3,16.9,2x 340kN GEnx-1B or 2x 340kN RR Trent 1000 TEN turbofans,Low wing,Underwing mounted,Regular tail (Dihedral),Tricycle retractable,781
BA11,,,L2J,C,M,Lower Medium,45201,140,2277,150,1200,150,1200,150,1200,0.71,1200,425,0.71,,1500,0.71,1500,150,1500,150,1500,220,137,2277,28.5,32.61,7.74,2 x 55.8kN R-R Spey 512-14 DW,Low wing,Both sides of rear fuselage,T-tail,Tricycle retractable,B11 / B12 / B13 / B14 / B15
BCS1,,,L2J,C,M,Lower Medium,63100,140,1509,165,3500,165,3500,165,3500,0.76,3500,445,0.76,,3400,0.76,1500,165,1500,165,1500,190,135,1509,35.1,35,11.5,2 x Pratt & Whitney Pure Power PW1500G,Low wing (winglets),Underwing mounted,Regular tail (Dihedral),Tricycle retractable,221
BCS3,,,L2J,C,M,Lower Medium,69900,165,1890,175,3100,175,3100,175,3100,0.76,3100,445,0.76,,3350,0.76,1500,175,1500,175,1500,190,140,1890,35.1,38.7,11.5,2 x Pratt & Whitney PurePower PW1500G,Low wing (winglets),Underwing mounted,Regular tail (Dihedral),Tricycle retractable,223
BDOG,,,L1P,A,L,Light,1066,,450,85,1000,85,1000,85,1000,,1000,110,,,540,,800,85,800,85,800,65,75,450,10.1,7.1,2.3,"1x 200 hp Lycoming IO-360-A1B6, 4 cylinder air-cooled engine.",Low wing,Nose mounted,"Regular tail, low set",Tricycle retractable or fixed,
BE10,,,L2T,B,L,Light,5350,105,450,135,1500,135,1500,135,1500,,1500,220,,,1200,,1500,135,1500,135,1500,180,100,450,14,12.2,4.7,2 x 658 SHP P&W PT6A-28 or  2 x 715 SHP Garrett TPE331-6-252B turboprops with 3 blade propellers.,Low wing,(Front) Wing leading mounted,"Regular tail, mid set",Tricycle retractable,
BE20,,,L2T,B,L,Light,5670,115,570,145,2000,145,2000,145,2000,0.48,2000,260,0.48,,1600,0.48,1500,145,1500,145,1500,110,100,570,16.6,13.4,4.5,2 x 850 SHP P&W PT6A-42 turboprops with 3 blade propellers.,Low wing,(Front) Wing leading mounted,T-tail,Tricycle retractable,BE2
BE23,,,L1P,A,L,Light,1090,60,350,90,400,90,400,90,400,,400,120,,,600,,500,90,500,90,500,,70,350,10,7.6,2.5,A23: 1 x 165 HP Lycoming IO-346-A piston engine with 2 blade propeller. C23: 1 x 180 HP Lycoming O-320-A4K piston engine with 2 blade propeller. C23R: 1 x 200 HP Lycoming O-360-A1B6 piston engine with 2 blade propeller.,Low wing,Nose mounted,"Regular tail, low set",Tricycle retractable or fixed,
BE33,,,L1P,A,L,Light,1390,75,350,105,800,105,800,105,800,,800,160,,,700,,500,105,500,105,500,70,70,350,10.2,7.8,2.5,1 x 225 HP Continental IO-470-K piston engine with two blade propeller.,Low wing,Nose mounted,"Regular tail, mid set",Tricycle retractable,BEC
BE36,,,L1P,A,L,Light,1650,75,350,95,500,95,500,95,500,,500,160,,,850,,500,95,500,95,500,75,70,350,8.4,8.1,2.6,1 x 300 HP Continental IO-550-B piston or 1 x 300 HP Continental TIO-520-UB turbocharged piston engine with 3 blade propeller.,Low wing,Nose mounted,"Regular tail, mid set",Tricycle retractable,
BE40,,,L2J,B,M,Light,7300,130,1200,160,3000,160,3000,160,3000,0.74,3000,420,0.74,,1500,0.74,1000,160,1000,160,1000,140,120,1200,13.3,14.8,4.2,2 x 12.9 kN P&W JT15D-5 turbofans.,Low wing,Both sides of rear fuselage,T-tail,Tricycle retractable,
BE50,,,L2P,A,L,Light,2860,95,300,125,1000,125,1000,125,1000,,1000,160,,,600,,800,125,800,125,800,,80,300,14,9.6,3.5,2 x 295 HP Lycoming GO-480-G2F6 or: 2 x 340 HP Lycoming IGSO-480-A1B6 or 2 x 400 HP Lycoming IO-729-A1A piston engine with 3 blade propellers.,Low wing,(Front) Wing leading mounted,"Regular tail, mid set",Tricycle retractable,
BE55,,,L2P,B,L,Light,2300,95,450,125,1500,125,1500,125,1500,,1500,180,,,900,,800,125,800,125,800,,95,450,11.5,8.5,2.9,2 x 260 HP Continental IO-470-L piston engine with two blade propellers.,Low wing,(Front) Wing leading mounted,"Regular tail, mid set",Tricycle retractable,
BE58,,,L2P,B,L,Light,2500,100,700,130,1500,130,1500,130,1500,,1500,175,,,1000,,800,130,800,130,800,95,95,700,11.5,9.1,2.97,2 x 300 HP Continental IO 550-C piston engines or 2 x 325 HP Continental TSIO 520-W3 turbocharged piston engines with 3 blade propellers.,Low wing,(Front) Wing leading mounted,"Regular tail, high set",Tricycle retractable,
BE60,,,L2P,B,L,Light,3070,95,600,125,1500,125,1500,125,1500,,1500,220,,,1000,,800,125,800,125,800,160,95,600,12,10.3,3.8,2 x 380 HP Lycoming TIA 541-E1C4 piston engines with 3 blade propellers.,Low wing,(Front) Wing leading mounted,Regular tail (Dihedral),Tricycle retractable,
BE70,,,L2P,B,L,Light,3700,,510,120,1300,120,1300,120,1300,,1300,180,,,755,,900,120,900,120,900,,110,510,15.5,10.8,4.3,2 x 340 HP Lycoming IGSO-480-A1E6 piston engines with three blade propellers.,Low wing,(Front) Wing leading mounted,"Regular tail, mid set",Tricycle retractable,
BE76,,,L2P,A,L,Light,1770,85,650,110,1000,110,1000,110,1000,,1000,140,,,750,,800,110,800,110,800,,85,650,11.6,8.9,2.9,2 x 180 HP  Lycoming 0-360-AIG6D piston engines with 2 blade propellers.,Low wing,(Front) Wing leading mounted,T-tail,Tricycle retractable,
BE80,,,L2P,A,L,Light,3990,80,550,110,1000,110,1000,110,1000,,1000,170,,,700,,800,110,800,110,800,,90,550,15.5,10.8,4.3,2 x 380 HP Lycoming IGSO-540-A1D piston engines with 3 blade propellers.,Low wing,(Front) Wing leading mounted,"Regular tail, mid set",Tricycle retractable,
BE95,,,L2P,A,L,Light,1905,,640,120,1400,120,1400,120,1400,,1400,170,,,1010,,1000,120,1000,120,1000,90,85,640,11.5,7.9,2.9,2 x Lycoming IO-360-B1B 180hp,Low wing,(Front) Wing leading mounted,"Regular tail, low set",Tricycle retractable,
BE99,,,L2T,B,L,Light,7600,115,1000,145,1000,145,1000,145,1000,,1000,240,,,1600,,800,145,800,145,800,,110,1000,14,13.6,4.4,2 x 680 SHP PWC PT6A -28 or 2 x 715 SHP PWC PT6A -36 turboprop with 3 blade propellers.,Low wing,(Front) Wing leading mounted,"Regular tail, mid set",Tricycle retractable,
BE9L,,,L2T,B,L,Light,4581,100,700,130,1500,130,1500,130,1500,0.39,1500,220,0.39,,1150,0.39,1000,130,1000,130,1000,90,105,700,15.3,10.8,4.3,2 x 500 SHP P&W PT6A -6 or 2 x 530 SHP P&W PT6A -20  or 2 x 550 SHP P&W PT6A -21  or 2 x 560 SHP P&W PT6A -34  turboprops with 3 blade propellers.,Low wing,(Front) Wing leading mounted,"Regular tail, mid set",Tricycle retractable,
BER4,,,A2J,D,M,Upper Medium,86000,,2000,200,5900,200,5900,200,5900,0.70,5900,380,0.70,,2212,0.70,1500,200,1500,200,1500,200,165,2000,41.62,43.84,11,"2 x Kolesov RD-36-51 Soloviev D-30KPV turbofans, 117.7 kN (26,455 lbF) each; Takeoff boosters: 2 x Kolesov RD36-35 turbojets, 23 kN (5,180 lbF) each. &#13;&#10;",High swept wing,Over wing mounted,T-tail,Amphibian,
BN2T,,,L2T,A,L,Light,3175,60,450,90,800,90,800,90,800,,800,145,,,830,,700,90,700,90,700,75,65,450,15,10.9,4.2,2 x 320 SHP Allison 250 turboprops with three blade propellers.,High wing,(Front) Wing leading mounted,"Regular tail, mid set",Tricycle fixed,
C06T,,,L1T,A,L,Light,1632,75,300,105,800,105,800,105,800,,800,150,,,630,,500,105,500,105,500,75,70,300,10.97,8.61,2.83,1 x 420 SHP Allison 250-C20S turboprop engine with 3 blade propeller.,High wing (wing struts),Nose mounted,"Regular tail, mid set",Tricycle fixed,
C130,,,L4T,C,M,Upper Medium,70310,120,1100,140,1500,140,1500,140,1500,0.57,1500,290,0.57,,2700,0.57,1500,140,1500,140,1500,120,130,1100,40.4,29.8,11.8,4 x 4.508 SHP Allison T56-A15 turboprops with 4 blade propellers.,High wing,(Front) Wing leading mounted,"Regular tail, low set",Tricycle retractable,LOH
C135,,,L4J,D,H,Lower Heavy,146290,125,2700,155,1500,155,1500,155,1500,0.76,1500,450,0.76,,3000,0.76,800,155,800,155,800,180,150,2700,39.9,51.5,12.7,4 x 93.4 kN P&W TF-P-9 or 4 x 106.8 kN CFM 56-2A2/3 turbofans.,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,
C141,,,L4J,C,H,Lower Heavy,155580,125,1700,155,2000,155,2000,155,2000,0.72,2000,430,0.72,,2500,0.72,800,155,800,155,800,,140,1700,48.7,51.3,12,4 x 93.4 kN GE TF 33-P-7 turbofans.,High wing,Underwing mounted,T-tail,Tricycle retractable,
C150,,,L1P,A,L,Light,680,55,250,85,400,85,400,85,400,,400,100,,,250,,500,85,500,85,500,,55,250,10.2,6.6,2.1,1 x 100 HP Continental O-200-A piston engine with two blade propeller.,High wing (wing struts),Nose mounted,"Regular tail, mid set",Tricycle fixed,
C152,,,L1P,A,L,Light,760,60,220,85,500,85,500,85,500,,500,100,,,315,,500,85,500,85,500,,55,220,10.2,7.3,2.6,1 x 180 HP Lycoming O-235-N26 piston engine with 2 blade propeller.,High wing (wing struts),Nose mounted,"Regular tail, mid set",Tricycle fixed,
C160,,,L2T,C,M,Upper Medium,51000,115,990,145,1200,145,1200,145,1200,,1200,260,,,2500,,1000,145,1000,145,1000,150,125,990,40,32.4,11.7,2 x 6.100 SHP R-R  Tyne RTy 20 Mk 22 turboprops with 4 blade propellers.,High wing,(Front) Wing leading mounted,"Regular tail, low set",Tricycle retractable,
C17,,,L4J,B,H,Lower Heavy,265350,125,2360,145,2000,145,2000,145,2000,0.74,2000,460,0.74,,5000,0.74,1000,145,1000,145,1000,,115,2360,51.8,53,16.8,4 x 185 kN P&W F117-PW-100 (PW2040) turbofans.,High wing (winglets),Underwing mounted,T-tail,Tricycle retractable,
C172,,,L1P,A,L,Light,1050,60,300,90,400,90,400,90,400,,400,115,,,430,,500,90,500,90,500,,65,300,10.9,8.2,2.7,1 x 145 HP Continental O-300-A or  1 x 175 HP Continental GO-300-C or  1 x 145 HP Continental O-300-C or 1 x 160 HP Lycoming O-320-H2AD or 1 x 195 HP Continental IO-360-KB piston engine with 2 blade propeller.,High wing (wing struts),Nose mounted,"Regular tail, mid set",Tricycle fixed,
C177,,,L1P,A,L,Light,1070,65,325,95,500,95,500,95,500,,500,115,,,590,,500,95,500,95,500,,65,325,10.8,8.2,2.8,1 x 150 HP Lycoming IO-320-E2D or 1 x 180 HP Lycoming O-360-A1F6D piston engine with two blade propeller.,High wing,Nose mounted,"Regular tail, mid set",Tricycle fixed,
C182,,,L1P,A,L,Light,1270,65,200,80,500,80,500,80,500,,500,140,,,550,,500,80,500,80,500,,65,200,11,8.6,2.8,1 x 230 Hp Lycoming IO-540-AB1A5 piston engine with 2 blade propeller.,High wing (wing struts),Nose mounted,"Regular tail, mid set",Tricycle fixed,
C2,,,L2T,B,M,Lower Medium,24687,105,795,135,1500,135,1500,135,1500,,1500,240,,,1200,,1500,135,1500,135,1500,,105,795,24.6,17.6,5.6,2 x 4.912 SHP Allison T56-A-425 turboprops with 4 blade propellers.,High wing,(Front) Wing leading mounted,Wide-span tail with four fins,Tricycle retractable,
C206,,,L1P,A,L,Light,1650,75,250,105,800,105,800,105,800,,800,140,,,560,,500,105,500,105,500,,70,250,10.9,8.6,3,206: 1 x 260 HP Continental IO-470-S piston engine with 2 blade propeller. T206: 1 x 285 HP Continental TSIO-520-C turbocharged piston engine with 3 blade propeller.,High wing (wing struts),Nose mounted,"Regular tail, mid set",Tricycle fixed,CN2
C207,,,L1P,A,L,Light,1720,75,350,105,500,105,500,105,500,,500,150,,,500,,500,105,500,105,500,,75,350,10.9,9.8,2.9,1 x 300 HP Continental IO-520-F or 1 x 310 HP Continental TSIO-520-M turbocharged  piston engine with 3 blade propeller.,High wing (wing struts),Nose mounted,"Regular tail, mid set",Tricycle fixed,CNT
C208,,,L1T,A,L,Light,3629,85,500,115,800,115,800,115,800,,800,160,,,1000,,500,115,500,115,500,75,75,500,15.9,11.5,4.3,1 x 600 SHP PWC PT6A-114 turboprop with 3 blade propeller. 208B: 1 x 675 SHP PWC PT6A-114A  turboprop with 3 blade propeller.,High wing (wing struts),Nose mounted,"Regular tail, mid set",Tricycle fixed,
C210,,,L1P,A,L,Light,1820,70,400,100,500,100,500,100,500,,500,170,,,800,,500,100,500,100,500,,75,400,11.2,8.6,3,210: 1 x 300 HP Continental IO-520L piston engine with 3 blade propeller. T210: 1 x 310 HP Continental TSIO-520R turbocharged  piston engine with 3 blade propeller.,High wing,Nose mounted,"Regular tail, low set",Tricycle retractable,
C212,,,L2T,A,M,Light,7700,100,900,130,1000,130,1000,130,1000,,1000,170,,,1400,,800,130,800,130,800,,90,900,20.3,16.2,6.6,2 x 777 SHP Garrett TPE 331-5-251C or 2 x 900 SHP Garrett TPE 331-10-501C or 2 x 900 SHP Garrett TPE 331-10R-51C or 2 x 1.100 SHP Garrett TPE 331-12JR  turboprops with four blade propellers.,High wing,(Front) Wing leading mounted,"Regular tail, low set",Tricycle fixed,CS2
C25A,,,L2J,B,L,Light,5670,120,1024,145,3500,145,3500,145,3500,0.62,3500,418,0.62,,1781,0.62,1000,145,1000,145,1000,1500,110,1024,15.19,14.53,4.27,no data,Low wing,Both sides of rear fuselage,T-tail,Tricycle retractable,CNJ
C25B,,,L2J,B,L,Light,6291,110,969,150,3500,150,3500,150,3500,0.56,3500,415,0.56,,2040,0.56,2000,150,2000,150,2000,150,108,969,16.26,15.59,4.2,2x 12.54kN Williams FJ44-3A,Low wing,Both sides of rear fuselage,T-tail,Tricycle retractable,CNJ
C25C,,,L2J,B,M,Light,7761,116,1039,200,3500,200,3500,200,3500,0.64,3500,450,0.64,,1920,0.64,2000,200,2000,200,2000,140,110,1039,15.49,16.26,4.2,2x 16.11kN Williams FJ44-4A,Low wing,Both sides of rear fuselage,T-tail,Tricycle retractable,CNJ
